name	endtime	length	radius	cylinder_end	halfLength	coreRadius	pbcd_dif	mbcd_num	bcd_trans	pbcd_deg	mbcd_deg	mbcd_dif	mbcd_drift	nuclear_absorption_speed	resultfile1	resultfile2	resultfile3
default	10000	500	100	400	250	75	7.4	50	0.4	0.0333333	0	0	0 0 0	0	default1.result	default2.result	default1.result
model1	8461	500	100	400	250	75	10	70000	0.0042	0.00041	0	0	0 0 0	0	model1-1.result	model1-2.result	model1-3.result
model2	8461	500	100	400	250	75	5	70000	0.0042	0.000041	0	0	0 0 0	0	model2-1.result	model2-2.result	model2-3.result
model4	8461	500	100	400	250	75	3	70000	0.0042	0.00166667	0		0 0 0	0	model4-1.result	model4-2.result	model4-3.result
lowdif	8461	500	100	400	250	75	0.3	70000	0.0042	0.0003333	0	0	0 0 0	0	lowdif-1.result	lowdif-2.result	lowdif-3.result
highdif	8461	500	100	400	250	75	7.4	70000	0.0042	0.0003333	0	0	0 0 0	0	highdif-1.result	highdif-2.result	highdif-3.result
lowdifs	8461	500	100	400	250	75	0.3	70000	0.0042	0.0003333	0	0.01	0.01 0 0	0	lowdifs-1.result	lowdifs-2.result	lowdifs-3.result
highdifs	8461	500	100	400	250	75	7.4	70000	0.0042	0.0003333	0	0.01	0.01 0 0	0	highdifs-1.result	highdifs-2.result	highdifs-3.result
